time	pi45p2	pi3k_act	pten	pip3	pi3k	lig	rec	pi45p2_pi3k_act	pip3_pten	rec_lig	rec_dimer	rec_phosp
0.0	115.0	0.0	0.388213560734	0.5	0.2	0.00157	0.15	0.0	0.0	0.0	0.0	5e-0
1.0	115.0	1.31816605161e-07	0.388213560734	0.0381893642804	0.19999462263	0.00157	0.143394505326	5.24555319398e-06	0.0435550163503	0.00634062051342	9.82037098866e-05	3.42333706091e-0
2.0	115.0	7.3249485977e-07	0.388213560734	0.00531800031488	0.19997057465	0.00157	0.137203181022	2.86928548743e-05	0.00692348232342	0.0110836446661	0.000477113182958	0.00032947397280
3.0	115.0	3.67100881339e-06	0.388213560734	0.00239140355592	0.199851011913	0.00157	0.131370238823	0.000145317077855	0.00155792876717	0.0141002201575	0.000976603774624	0.0011881667350
4.0	115.0	1.11052426187e-05	0.388213560734	0.00583917228626	0.199546011653	0.00157	0.125846789162	0.000442883104221	0.00230801437713	0.0158161861962	0.00142209548677	0.0025964168341
5.0	115.0	2.45601414167e-05	0.388213560734	0.0138343490641	0.198991519602	0.00157	0.120596357674	0.000983920256622	0.00564321118039	0.0167026420592	0.001755892814	0.0043946073194
6.0	115.0	4.46902647867e-05	0.388213560734	0.0266910332965	0.198159690631	0.00157	0.115592903206	0.00179561910466	0.011434690326	0.0171001855121	0.00198982167067	0.0064136339703
7.0	115.0	7.14490559196e-05	0.388213560734	0.0445333155612	0.197052020737	0.00157	0.110817405501	0.00287653020751	0.0197814579038	0.0172203114978	0.00215339007518	0.0085277514255
8.0	115.0	0.000104345272611	0.388213560734	0.0671284102992	0.19568868135	0.00157	0.106255211102	0.00420697337709	0.0306189281517	0.017186379241	0.00227211962531	0.010657085203
9.0	115.0	0.000142652033864	0.388213560734	0.0940086294909	0.194099774728	0.00157	0.101894344133	0.00575757323787	0.0437416972714	0.0170684998677	0.00236335671961	0.0127552212
10.0	115.0	0.000185546220198	0.388213560734	0.124590192593	0.192319488098	0.00157	0.0977245060074	0.0074949656819	0.0588662310509	0.0169061385969	0.00243777056119	0.014796907136
11.0	115.0	0.000232192220796	0.388213560734	0.158252506057	0.190382576581	0.00157	0.0937365004871	0.00938523119788	0.0756779457804	0.016721420794	0.0025016326588	0.016769406700
12.0	115.0	0.000281789455052	0.388213560734	0.194385509659	0.188322365149	0.00157	0.0899219005178	0.0113958453959	0.0938605439311	0.0165267669119	0.00255856307999	0.018667103205
13.0	115.0	0.000333596972821	0.388213560734	0.232415464758	0.18616971259	0.00157	0.0862728568894	0.0134966904371	0.113112528018	0.0163291271437	0.00261064769097	0.020488360292
14.0	115.0	0.000386945027016	0.388213560734	0.271818030593	0.183952522548	0.00157	0.0827819828464	0.0156605324252	0.133155888551	0.0161323869579	0.00265909899117	0.022233716106
15.0	115.0	0.000441238808374	0.388213560734	0.312123665366	0.181695583713	0.00157	0.0794422833227	0.017863177479	0.153740054927	0.0159387039386	0.00270463965325	0.023904866716
16.0	115.0	0.000495957609619	0.388213560734	0.352918471087	0.17942060204	0.00157	0.0762471095604	0.0200834403508	0.174642992339	0.0157492482241	0.00274771280233	0.025504108305
17.0	115.0	0.000550651609831	0.388213560734	0.393842653143	0.177146332982	0.00157	0.0731901271811	0.0223030154086	0.195670803287	0.0155646354769	0.00278860501193	0.027034013659
18.0	115.0	0.000604937187092	0.388213560734	0.434587472392	0.174888775633	0.00157	0.0702652931105	0.0245062871795	0.216656372576	0.0153851638674	0.00282751305538	0.028497258455
19.0	115.0	0.000658491511283	0.388213560734	0.474891418208	0.17266139723	0.00157	0.0674668376008	0.0266801112587	0.237457504017	0.0152109445371	0.00286457984658	0.029896529084
20.0	115.0	0.000711046952016	0.388213560734	0.514536121303	0.170475365558	0.00157	0.0647892489259	0.0288135874904	0.257954870682	0.0150419830215	0.0028999169413	0.03123446708
21.0	115.0	0.000762385472465	0.388213560734	0.553342168696	0.168339782107	0.00157	0.0622272600091	0.0308978324201	0.278049876173	0.0148782274138	0.002933617552	0.032513638736
22.0	115.0	0.000812333145073	0.388213560734	0.591164941281	0.166261910291	0.00157	0.0597758366028	0.0329257565643	0.297662497556	0.0147195925809	0.00296576276746	0.033736522640
23.0	115.0	0.000860754947884	0.388213560734	0.627890627508	0.164247392029	0.00157	0.0574301665135	0.0348918530232	0.316729202983	0.0145659721915	0.0029964249465	0.03490550570
24.0	115.0	0.000907549919968	0.388213560734	0.663432494562	0.162300449455	0.00157	0.0551856493859	0.0367920006251	0.335200997516	0.0144172484945	0.00302567042011	0.036022880639
25.0	115.0	0.000952646677552	0.388213560734	0.69772741815	0.160424071623	0.00157	0.0530378870355	0.0386232816995	0.353041597062	0.0142732993424	0.00305356126037	0.037090845550
26.0	115.0	0.000995999346734	0.388213560734	0.730732715156	0.158620183907	0.00157	0.0509826744547	0.0403838167467	0.370225752826	0.0141340006913	0.00308015601363	0.038111506413
27.0	115.0	0.00103758367408	0.388213560734	0.762423108788	0.156889810015	0.00157	0.0490159909795	0.0420726063109	0.386737644574	0.0139992294692	0.00310551047272	0.039086879302
28.0	115.0	0.00107739365776	0.388213560734	0.792788079756	0.155233212356	0.00157	0.04713399218	0.0436893939867	0.402569469406	0.0138688628348	0.0031296776188	0.040018894873
29.0	115.0	0.00111543867637	0.388213560734	0.821829602227	0.153650011656	0.00157	0.0453330022031	0.0452345496672	0.417720232433	0.0137427783065	0.00315270780788	0.040909401937
30.0	115.0	0.00115174079079	0.388213560734	0.84956001922	0.152139299414	0.00157	0.0436095062264	0.0467089597948	0.432194614344	0.0136208551953	0.0031746491691	0.041760170120
31.0	115.0	0.00118633231977	0.388213560734	0.876000122411	0.150699738928	0.00157	0.0419601432729	0.0481139287518	0.446001943385	0.0135029747301	0.00319554770468	0.042572893293
32.0	115.0	0.0012192538248	0.388213560734	0.901177550048	0.149329649301	0.00157	0.0403816994249	0.0494510968744	0.459155335402	0.0133890206929	0.00321544750726	0.043349192433
33.0	115.0	0.00125055234312	0.388213560734	0.925125375965	0.1480270791	0.00157	0.0388711013661	0.0507223685564	0.47167093373	0.013278879304	0.00323439083845	0.044090618826
34.0	115.0	0.00128027978183	0.388213560734	0.947880826176	0.146789873314	0.00157	0.0374254101385	0.0519298469035	0.483567216959	0.0131724388174	0.00325241815962	0.044798657362
35.0	115.0	0.0013084915963	0.388213560734	0.969484218445	0.145615728459	0.00157	0.0360418152153	0.0530757799449	0.494864426131	0.0130695896594	0.00326956820597	0.045474729356
36.0	115.0	0.0013352455948	0.388213560734	0.989977999989	0.144502242427	0.00157	0.0347176287532	0.0541625119779	0.50558404336	0.0129702242795	0.00328587802892	0.046120195454
37.0	115.0	0.00136060114963	0.388213560734	1.00940610631	0.143446947406	0.00157	0.0334502803702	0.0551924514442	0.515748442607	0.0128742374968	0.00330138309824	0.046736357968
38.0	115.0	0.00138461831356	0.388213560734	1.02781324533	0.142447346729	0.00157	0.0322373118745	0.0561680349574	0.525380499882	0.0127815265051	0.00331611742176	0.047324463388
39.0	115.0	0.00140735707391	0.388213560734	1.04524429225	0.141500945994	0.00157	0.0310763722197	0.0570916969321	0.534503263525	0.0126919907268	0.00333011356802	0.047885704958
40.0	115.0	0.00142887681518	0.388213560734	1.0617438473	0.140605275494	0.00157	0.0299652127516	0.0579658476906	0.543139711009	0.0126055318684	0.00334340276481	0.048421224925
41.0	115.0	0.00144923606581	0.388213560734	1.0773560179	0.139757900818	0.00157	0.0289016830071	0.0587928631161	0.551312626628	0.0125220537647	0.00335601491885	0.048932116695
42.0	115.0	0.00146849194183	0.388213560734	1.09212396746	0.13895644603	0.00157	0.0278837260619	0.0595750620276	0.559044353927	0.0124414624774	0.00336797867363	0.049419427056
43.0	115.0	0.00148669998744	0.388213560734	1.1060897734	0.138198600364	0.00157	0.0269093745463	0.0603146996483	0.566356714418	0.0123636662114	0.00337932144256	0.049884158178
44.0	115.0	0.00150391400866	0.388213560734	1.1192942788	0.137482125267	0.00157	0.0259767468491	0.061013960724	0.573270925466	0.0122885754027	0.00339006949128	0.050327269382
45.0	115.0	0.00152018581409	0.388213560734	1.13177688449	0.136804865007	0.00157	0.025084043111	0.061674949178	0.579807480404	0.0122161026479	0.00340024796979	0.050749679150
46.0	115.0	0.00153556517048	0.388213560734	1.1435754989	0.13616474866	0.00157	0.0242295417497	0.0622996861695	0.585986119293	0.0121461627271	0.00340988097583	0.051152266785
47.0	115.0	0.00155009979306	0.388213560734	1.15472650934	0.135559790891	0.00157	0.023411596216	0.0628901093153	0.591825814477	0.0120786725207	0.00341899160384	0.051535874027
48.0	115.0	0.00156383508993	0.388213560734	1.16526458462	0.134988102062	0.00157	0.022628630955	0.0634480628475	0.597344653044	0.0120135510625	0.00342760198467	0.051901307006
49.0	115.0	0.00157681448884	0.388213560734	1.17522292662	0.134447874654	0.00157	0.0218791393821	0.0639753108563	0.602559971789	0.0119507194111	0.00343573329975	0.052249337303
50.0	115.0	0.00158907911898	0.388213560734	1.18463299624	0.133937396975	0.00157	0.0211616796546	0.0644735239058	0.607488207818	0.0118901007191	0.00344340585443	0.052580703958
51.0	115.0	0.00160066818981	0.388213560734	1.19352481306	0.133455037336	0.00157	0.0204748730565	0.0649442944734	0.612145057868	0.0118316201568	0.00345063906998	0.052896114323
52.0	115.0	0.00161161876175	0.388213560734	1.20192676943	0.132999253255	0.00157	0.0198174002237	0.0653891279827	0.616545372942	0.0117752049144	0.00345745156303	0.053196245867
53.0	115.0	0.00162196600283	0.388213560734	1.2098658279	0.132568580922	0.00157	0.0191879992832	0.0658094530745	0.62070326437	0.0117207841824	0.00346386115987	0.053481747107
54.0	115.0	0.00163174313883	0.388213560734	1.2173674714	0.132161637458	0.00157	0.0185854629384	0.0662066194028	0.624632073215	0.0116682891115	0.0034698849369	0.053753239038
55.0	115.0	0.00164098157244	0.388213560734	1.22445579505	0.131777115825	0.00157	0.0180086360916	0.0665819026025	0.628344417799	0.0116176528038	0.00347553925832	0.05401131629
56.0	115.0	0.00164971095036	0.388213560734	1.23115355665	0.131413782027	0.00157	0.0174564139034	0.066936507022	0.631852220219	0.0115688102565	0.00348083978772	0.054256548132
57.0	115.0	0.00165795921839	0.388213560734	1.23748221203	0.131070472871	0.00157	0.0169277388841	0.0672715679104	0.635166721836	0.0115216983568	0.00348580153828	0.054489479841
58.0	115.0	0.00166575277792	0.388213560734	1.24346204267	0.13074608942	0.00157	0.0164216006097	0.0675881578016	0.638298553832	0.0114762558184	0.00349043886129	0.054710632924
59.0	115.0	0.00167311643232	0.388213560734	1.24911209678	0.130439599269	0.00157	0.0159370304416	0.0678872842983	0.641257698254	0.0114324231951	0.0034947655332	0.054920507648
60.0	115.0	0.00168007356625	0.388213560734	1.25445033834	0.130150029052	0.00157	0.0154731020894	0.0681698973815	0.644053571262	0.0113901428143	0.00349879473917	0.05511958280
61.0	115.0	0.00168664625868	0.388213560734	1.25949373919	0.129876459727	0.00157	0.0150289309447	0.0684368940139	0.646695073266	0.0113493587319	0.00350253908845	0.055308316073
62.0	115.0	0.00169285523141	0.388213560734	1.26425821458	0.129618028775	0.00157	0.0146036674006	0.068689115993	0.649190545421	0.011310016749	0.0035060106925	0.055487147232
63.0	115.0	0.00169872002977	0.388213560734	1.26875878815	0.129373922622	0.00157	0.014196501218	0.0689273573477	0.651547866314	0.0112720643226	0.00350922112195	0.055656496107
64.0	115.0	0.00170425907076	0.388213560734	1.2730096146	0.129143374666	0.00157	0.0138066563624	0.0691523662634	0.653774458259	0.0112354505595	0.00351218146779	0.055816765071
65.0	115.0	0.00170948971178	0.388213560734	1.27702402902	0.128925662417	0.00157	0.0134333885919	0.0693648478704	0.655877311774	0.0112001261881	0.00351490237169	0.055968340238
66.0	115.0	0.00171442822159	0.388213560734	1.28081453776	0.128720108689	0.00157	0.0130759892824	0.0695654630886	0.657862986074	0.0111660435071	0.00351739397519	0.056111589630
67.0	115.0	0.00171909003082	0.388213560734	1.28439299589	0.128526071195	0.00157	0.0127337770348	0.0697548387743	0.659737696034	0.0111331563642	0.00351966603721	0.056246867263
68.0	115.0	0.00172348963069	0.388213560734	1.28777053792	0.128342946747	0.00157	0.0124061010356	0.0699335636216	0.661507279277	0.0111014201161	0.00352172788508	0.05637451153
69.0	115.0	0.00172764061172	0.388213560734	1.29095760654	0.12817016965	0.00157	0.0120923396075	0.0701021897377	0.66317721078	0.0110707915937	0.00352358843486	0.056494845964
70.0	115.0	0.0017315558988	0.388213560734	1.29396412914	0.128007201922	0.00157	0.0117918957229	0.0702612421787	0.664752693925	0.011041229073	0.00352525625153	0.056608181350
71.0	115.0	0.00173524756182	0.388213560734	1.29679937793	0.127853541167	0.00157	0.0115041999699	0.0704112112706	0.666238589298	0.0110126922212	0.00352673951565	0.056714814388
72.0	115.0	0.00173872703215	0.388213560734	1.29947213212	0.127708711572	0.00157	0.0112287064321	0.0705525613958	0.667639498043	0.0109851420801	0.00352804607227	0.056815029671
