time	pi45p2	pi3k_act	pten	pip3	pi3k	lig	rec	pi45p2_pi3k_act	pip3_pten	rec_lig	rec_dimer	rec_phosp
0.0	115.0	0.0	0.0	0.5	0.2	0.00157	0.15	0.0	0.0	0.0	0.0	5e-0
1.0	115.0	1.31816452289e-07	0.0	0.103191811493	0.199994622637	0.00157	0.143394505325	5.24554677903e-06	0.0	0.00634062044023	9.82036852596e-05	3.42334320187e-0
2.0	115.0	7.32495410468e-07	0.0	0.0216776730019	0.199970574645	0.00157	0.137203181016	2.86928595843e-05	0.0	0.0110836445214	0.000477113102664	0.00032947412867
3.0	115.0	3.67100978954e-06	0.0	0.00674253614987	0.199851011873	0.00157	0.131370238809	0.000145317117177	0.0	0.0141002201226	0.000976603690678	0.0011881668433
4.0	115.0	1.11052439252e-05	0.0	0.0092849777186	0.199546011599	0.00157	0.125846789148	0.000442883157333	0.0	0.0158161862445	0.00142209547093	0.0025964168328
5.0	115.0	2.45601426396e-05	0.0	0.0210348212738	0.198991519551	0.00157	0.120596357662	0.000983920306442	0.0	0.016702642116	0.00175589282797	0.0043946072831
6.0	115.0	4.46902657049e-05	0.0	0.04129847711	0.198159690592	0.00157	0.115592903197	0.00179561914213	0.0	0.0171001855688	0.00198982168965	0.0064136339274
7.0	115.0	7.14490583384e-05	0.0	0.0701447132683	0.197052020636	0.00157	0.110817405474	0.00287653030569	0.0	0.0172203119	0.0021533898446	0.0085277514684
8.0	115.0	0.000104345267145	0.0	0.107244385215	0.195688681579	0.00157	0.106255211149	0.0042069731542	0.0	0.0171863784136	0.00227211979962	0.010657085419
9.0	115.0	0.000142652051777	0.0	0.151868188938	0.194099773978	0.00157	0.101894344001	0.00575757397061	0.0	0.0170685025512	0.0023633568314	0.012755219892
10.0	115.0	0.000185546204734	0.0	0.203055732848	0.192319488747	0.00157	0.0977245061074	0.00749496504868	0.0	0.0169061360532	0.00243777035448	0.014796908565
11.0	115.0	0.000232192236184	0.0	0.259756607979	0.190382575936	0.00157	0.0937365003739	0.00938523182786	0.0	0.0167214232325	0.00250163276522	0.016769405431
12.0	115.0	0.000281789460402	0.0	0.320920731826	0.188322364924	0.00157	0.0899219004761	0.0113958456156	0.0	0.0165267674883	0.00255856341925	0.018667102598
13.0	115.0	0.000333596973963	0.0	0.385550577443	0.186169712543	0.00157	0.086272856873	0.0134966904833	0.0	0.0163291273782	0.00261064756258	0.020488360311
14.0	115.0	0.00038694503731	0.0	0.452728277672	0.183952522113	0.00157	0.0827819827887	0.0156605328501	0.0	0.0161323883144	0.00265909931865	0.022233715129
15.0	115.0	0.000441238799065	0.0	0.521627733029	0.181695584103	0.00157	0.0794422833773	0.0178631770977	0.0	0.015938702634	0.00270463929922	0.023904867695
16.0	115.0	0.000495957603606	0.0	0.591518089536	0.179420602292	0.00157	0.0762471095884	0.0200834401042	0.0	0.0157492474834	0.00274771258378	0.025504108880
17.0	115.0	0.000550651621134	0.0	0.661761796773	0.177146332507	0.00157	0.0731901271108	0.0223030158718	0.0	0.0155646370094	0.00278860544834	0.027034012491
18.0	115.0	0.000604937191209	0.0	0.731809979499	0.17488877546	0.00157	0.0702652930868	0.0245062873483	0.0	0.0153851643501	0.00282751316205	0.028497258119
19.0	115.0	0.000658491502204	0.0	0.801196329622	0.172661397612	0.00157	0.0674668376812	0.0266801108855	0.0	0.0152109428123	0.00286457938889	0.029896530364
20.0	115.0	0.000711046949224	0.0	0.869530134909	0.170475365674	0.00157	0.0647892489569	0.0288135873763	0.0	0.0150419823887	0.00289991682559	0.031234467501
21.0	115.0	0.000762385471158	0.0	0.93648901208	0.168339782158	0.00157	0.0622272599183	0.0308978323708	0.0	0.0148782290291	0.00293361797602	0.032513637550
22.0	115.0	0.000812333131176	0.0	1.00181185648	0.166261910866	0.00157	0.0597758364819	0.0329257560028	0.0	0.0147195943635	0.00296576318745	0.033736521389
23.0	115.0	0.000860754939547	0.0	1.06529199094	0.164247392376	0.00157	0.0574301664976	0.0348918526845	0.0	0.0145659720611	0.0029964249121	0.034905505808
24.0	115.0	0.000907549953687	0.0	1.12677060134	0.162300448053	0.00157	0.0551856495061	0.0367920019932	0.0	0.0144172467861	0.00302567002743	0.036022881826
25.0	115.0	0.000952646777286	0.0	1.18613064243	0.160424067471	0.00157	0.0530378872356	0.0386232857519	0.0	0.0142732977018	0.00305356088028	0.03709084665
26.0	115.0	0.000995999419228	0.0	1.2432911997	0.158620180885	0.00157	0.0509826745443	0.0403838196955	0.0	0.0141340008061	0.00308015601725	0.038111506307
27.0	115.0	0.00103758361925	0.0	1.29820245416	0.156889812297	0.00157	0.0490159908722	0.0420726040833	0.0	0.013999230843	0.00310551075962	0.039086878382
28.0	115.0	0.00107739346548	0.0	1.3508410376	0.155233220365	0.00157	0.0471339919256	0.0436893861696	0.0	0.0138688641158	0.0031296779092	0.040018894070
29.0	115.0	0.00111543841733	0.0	1.40120590174	0.153650022454	0.00157	0.0453330019025	0.0452345391283	0.0	0.013742778778	0.00315270792728	0.040909401732
30.0	115.0	0.00115174052792	0.0	1.44931445467	0.152139310386	0.00157	0.0436095059391	0.046708949086	0.0	0.0136208547823	0.00317464907224	0.041760170567
31.0	115.0	0.00118633215746	0.0	1.49519937543	0.150699745705	0.00157	0.0419601430726	0.0481139221371	0.0	0.0135029739768	0.00319554750076	0.042572893974
32.0	115.0	0.00121925382241	0.0	1.53890557073	0.149329649423	0.00157	0.040381699342	0.0494510967547	0.0	0.0133890202303	0.00321544735549	0.043349192858
33.0	115.0	0.00125055243291	0.0	1.58048768997	0.14802707541	0.00157	0.038871101331	0.0507223721572	0.0	0.0132788792188	0.00323439080072	0.044090618924
34.0	115.0	0.00128027990299	0.0	1.62000816855	0.146789868163	0.00157	0.0374254101098	0.0519298519344	0.0	0.0131724389177	0.00325241821762	0.044798657268
