time	pi45p2	pi3k_act	pten	pip3	pi3k	lig	rec	pi45p2_pi3k_act	pip3_pten	rec_lig	rec_dimer	rec_phosp
91.0	115.0	0.00108837392571	0.356090365199	1.33118233251	0.123943585637	0.00157	0.00773476883188	0.0749680404376	0.663391229273	0.0106061742423	0.00352762507098	0.057801903391
92.0	115.0	0.00108897925297	0.356090365199	1.33194709507	0.12390121651	0.00157	0.00761845121112	0.0750098042375	0.663785270722	0.0105919769609	0.00352662128437	0.057818164629
93.0	115.0	0.00108953520392	0.356090365199	1.332650324	0.123862301034	0.00157	0.00750700997515	0.0750481637623	0.664148040889	0.0105782041064	0.00352554656487	0.057831846394
94.0	115.0	0.00109004407221	0.356090365199	1.33329488254	0.123826678766	0.00157	0.00740023691752	0.0750832771626	0.66448099746	0.0105648384954	0.00352440393221	0.057843058361
95.0	115.0	0.00109050802195	0.356090365199	1.33388347183	0.123794198323	0.00157	0.00729793324739	0.0751152936553	0.664785515414	0.0105518636255	0.00352319627135	0.057851905292
96.0	115.0	0.0010909291302	0.356090365199	1.3344186842	0.123764714415	0.00157	0.00719990788972	0.0751443564549	0.665062914232	0.0105392636079	0.00352192635475	0.057858487896
97.0	115.0	0.00109130935558	0.356090365199	1.33490296377	0.123738090036	0.00157	0.0071059784863	0.0751706006088	0.665314437758	0.0105270231907	0.0035205968297	0.057862902331
98.0	115.0	0.00109165056177	0.356090365199	1.33533863594	0.123714194823	0.00157	0.00701597038385	0.0751941546161	0.665541269282	0.0105151277144	0.00351921023231	0.057865240718
99.0	115.0	0.00109195453004	0.356090365199	1.33572792314	0.123692904175	0.00157	0.00692971602587	0.0752151412952	0.66574453962	0.0105035630804	0.00351776899604	0.057865591450
100.0	115.0	0.00109222293247	0.356090365199	1.33607291116	0.123674101134	0.00157	0.00684705589318	0.0752336759338	0.665925309841	0.010492315774	0.00351627543824	0.057864038728
101.0	115.0	0.00109245738233	0.356090365199	1.33637561242	0.123657672853	0.00157	0.00676783633094	0.0752498697653	0.666084603677	0.0104813727784	0.00351473179153	0.057860663653
102.0	115.0	0.0010926594125	0.356090365199	1.33663793883	0.123643512109	0.00157	0.00669191031773	0.075263828479	0.666223393618	0.010470721592	0.00351314019255	0.057855543852
103.0	115.0	0.00109283045945	0.356090365199	1.33686168158	0.123631518426	0.00157	0.0066191381315	0.0752756511154	0.666342590546	0.0104603502557	0.00351150267125	0.057848753135
104.0	115.0	0.00109297191677	0.356090365199	1.33704857854	0.123621594324	0.00157	0.00654938482132	0.0752854337598	0.666443078251	0.0104502472312	0.00350982118909	0.057840362784
105.0	115.0	0.00109308510873	0.356090365199	1.33720028088	0.123613647175	0.00157	0.00648252132064	0.0752932677167	0.666525696336	0.0104404014461	0.00350809762172	0.057830440994
106.0	115.0	0.00109317127229	0.356090365199	1.33731833091	0.123607590456	0.00157	0.00641842518198	0.0752992382723	0.666591228898	0.0104308023129	0.0035063337528	0.057819052499
107.0	115.0	0.00109323161216	0.356090365199	1.33740423052	0.123603339902	0.00157	0.00635697796794	0.0753034284862	0.666640439512	0.0104214396174	0.00350453130465	0.057806259902
108.0	115.0	0.00109326727213	0.356090365199	1.33745940571	0.123600815507	0.00157	0.00629806647031	0.0753059172213	0.666674053091	0.0104123035596	0.00350269192525	0.057792123059
109.0	115.0	0.00109327932387	0.356090365199	1.33748519169	0.123599942317	0.00157	0.00624158321381	0.0753067783602	0.666692748271	0.0104033847798	0.00350081717542	0.057776698827
110.0	115.0	0.00109326880781	0.356090365199	1.33748288525	0.123600647556	0.00157	0.00618742436886	0.0753060836368	0.666697184197	0.0103946742449	0.00349890856627	0.057760042126
111.0	115.0	0.00109323671327	0.356090365199	1.33745371918	0.123602862028	0.00157	0.00613549065272	0.0753039012593	0.666687987427	0.0103861632913	0.00349696754146	0.057742205486
112.0	115.0	0.00109318397115	0.356090365199	1.33739885409	0.123606520615	0.00157	0.00608568768687	0.0753002954149	0.666665747564	0.0103778436424	0.00349499547933	0.05772323885
113.0	115.0	0.00109311148154	0.356090365199	1.33731941164	0.123611560358	0.00157	0.00603792445137	0.0752953281606	0.666631034533	0.0103697073185	0.00349299370526	0.057703190409
114.0	115.0	0.00109302010234	0.356090365199	1.33721646114	0.123617921249	0.00157	0.00599211383527	0.0752890586494	0.66658439157	0.0103617466641	0.0034909634897	0.057682106260
