time	pi45p2	pi3k_act	pten	pip3	pi3k	lig	rec	pi45p2_pi3k_act	pip3_pten	rec_lig	rec_dimer	rec_phosp
0.0	115.0	0.0	0.0	0.5	0.2	0.00157	0.15	0.0	0.0	0.0	0.0	5e-0
1.0	115.0	1.72394837913e-07	0.0	0.123866981146	0.199991071886	0.00157	0.143394505325	8.75571947905e-06	0.0	0.00634062044734	9.82036889055e-05	3.42334248467e-0
2.0	115.0	9.62150439636e-07	0.0	0.0313194984125	0.199951036426	0.00157	0.137203181014	4.80014230863e-05	0.0	0.0110836445193	0.000477113064248	0.00032947416898
3.0	115.0	4.78571777504e-06	0.0	0.0115791472646	0.1997536302	0.00157	0.131370238805	0.000241584082253	0.0	0.0141002201945	0.000976603644118	0.0011881668562
4.0	115.0	1.42377145372e-05	0.0	0.0160581547934	0.199261128946	0.00157	0.125846789144	0.000724633339177	0.0	0.0158161863439	0.0014220954684	0.0025964167874
5.0	115.0	3.08780371178e-05	0.0	0.0354672075462	0.198389732169	0.00157	0.120596357662	0.00157938979389	0.0	0.0167026422694	0.00175589288998	0.0043946071445
6.0	115.0	5.50162458872e-05	0.0	0.0685871979769	0.19712187451	0.00157	0.115592903204	0.00282310924385	0.0	0.0171001856856	0.00198982180917	0.0064136337458
7.0	115.0	8.60454385175e-05	0.0	0.114755379055	0.195488877278	0.00157	0.11081740551	0.00442507728366	0.0	0.0172203115591	0.00215339017626	0.0085277512892
8.0	115.0	0.000122859930513	0.0	0.172554970439	0.193548827236	0.00157	0.106255211115	0.00632831283316	0.0	0.0171863792292	0.00227211967059	0.010657085157
9.0	115.0	0.000164172059567	0.0	0.239979353072	0.191369699722	0.00157	0.101894344123	0.00846612821823	0.0	0.0170685003426	0.00236335671444	0.012755221052
10.0	115.0	0.000208707302115	0.0	0.314799006423	0.189018929741	0.00157	0.0977245059954	0.0107723629565	0.0	0.0169061390412	0.00243777068505	0.014796906796
11.0	115.0	0.000255307075846	0.0	0.394836531291	0.186557899747	0.00157	0.0937365004112	0.0131867931771	0.0	0.0167214227526	0.00250163295158	0.016769405466
12.0	115.0	0.000302973689242	0.0	0.478123820991	0.184039516139	0.00157	0.0899219004122	0.0156575101722	0.0	0.0165267694822	0.00255856373299	0.018667101319
13.0	115.0	0.00035088083562	0.0	0.562971228215	0.181507628144	0.00157	0.0862728568433	0.0181414910201	0.0	0.0163291283189	0.00261064799784	0.020488359421
14.0	115.0	0.000398366385781	0.0	0.64798383004	0.178997394957	0.00157	0.0827819828087	0.0206042386569	0.0	0.0161323879949	0.00265909922392	0.022233715374
15.0	115.0	0.000444916098557	0.0	0.732047563835	0.176536140585	0.00157	0.0794422833029	0.0230189433169	0.0	0.0159387045868	0.00270463982279	0.023904866232
16.0	115.0	0.000490143975457	0.0	0.814300773639	0.174144390237	0.00157	0.0762471095618	0.0253654657879	0.0	0.0157492483765	0.00274771282395	0.025504108206
17.0	115.0	0.000533772264213	0.0	0.894100558119	0.171836927586	0.00157	0.0731901271868	0.0276293001499	0.0	0.0155646355302	0.00278860502339	0.027034013618
18.0	115.0	0.000575612435393	0.0	0.97098802199	0.16962380182	0.00157	0.0702652930988	0.0298005857449	0.0	0.0153851643079	0.00282751317093	0.028497258125
19.0	115.0	0.00061554816267	0.0	1.04465572352	0.167511229335	0.00157	0.067466837598	0.0318732225025	0.0	0.0152109447564	0.00286457989352	0.029896528929
20.0	115.0	0.000653520504354	0.0	1.11491869946	0.165502379145	0.00157	0.0647892489307	0.033844100351	0.0	0.0150419830296	0.00289991695879	0.03123446706
21.0	115.0	0.000689515097056	0.0	1.1816888098	0.163598051978	0.00157	0.0622272600095	0.035712432925	0.0	0.0148782275024	0.00293361759015	0.032513638653
22.0	115.0	0.000723551411643	0.0	1.24495280202	0.161797250184	0.00157	0.059775836586	0.0374791984043	0.0	0.0147195929818	0.00296576286461	0.033736522351
23.0	115.0	0.000755674137627	0.0	1.30475444952	0.160097634911	0.00157	0.0574301664937	0.0391466909511	0.0	0.0145659725761	0.00299642503319	0.034905505431
24.0	115.0	0.000785946080329	0.0	1.36117972773	0.158495903089	0.00157	0.0551856493756	0.0407181508309	0.0	0.0144172485858	0.00302567044176	0.036022880577
25.0	115.0	0.000814442409887	0.0	1.41434464607	0.15698809275	0.00157	0.0530378870308	0.0421974648401	0.0	0.0142732992912	0.00305356124287	0.037090845596
26.0	115.0	0.000841246054602	0.0	1.46438535131	0.155569827671	0.00157	0.0509826743419	0.0435889262739	0.0	0.0141340013707	0.0030801561279	0.038111506015
27.0	115.0	0.000866444150858	0.0	1.51145041597	0.154236505956	0.00157	0.0490159906732	0.0448970498933	0.0	0.0139992309461	0.00310551075498	0.039086878435
28.0	115.0	0.000890125455471	0.0	1.5556950809	0.152983437624	0.00157	0.0471339917011	0.0461264369207	0.0	0.0138688643919	0.00312967794787	0.040018894005
29.0	115.0	0.000912378363098	0.0	1.59727681868	0.151805949897	0.00157	0.045333001585	0.0472816717398	0.0	0.0137427793919	0.00315270807458	0.04090940143
30.0	115.0	0.000933289414443	0.0	1.63635189992	0.150699466854	0.00157	0.0436095054824	0.0483672437317	0.0	0.0136208556251	0.00317464929484	0.041760170151
31.0	115.0	0.000952942238481	0.0	1.67307294107	0.149659564988	0.00157	0.0419601424456	0.0493874927738	0.0	0.0135029748342	0.00319554773137	0.042572893628
32.0	115.0	0.000971416813198	0.0	1.70758702568	0.148682014271	0.00157	0.0403816985699	0.0503465689157	0.0	0.0133890208288	0.00321544753158	0.043349192769
