time	pi45p2	pi3k_act	pten	pip3	pi3k	lig	rec	pi45p2_pi3k_act	pip3_pten	rec_lig	rec_dimer	rec_phosp
0.0	115.0	0.0	0.0	0.5	0.2	0.00157	0.15	0.0	0.0	0.0	0.0	5e-0
1.0	115.0	1.29656673391e-07	0.0	0.183867262473	0.199996549501	0.00157	0.143394505325	3.3208426576e-06	0.0	0.00634062043131	9.82036829523e-05	3.42334388077e-0
2.0	115.0	7.201825575e-07	0.0	0.0678848318819	0.199981111701	0.00157	0.137203181013	1.81681164391e-05	0.0	0.0110836445004	0.000477113040513	0.00032947420281
3.0	115.0	3.60771227062e-06	0.0	0.0266507745153	0.199904459286	0.00157	0.131370238785	9.19330014333e-05	0.0	0.0141002207211	0.000976603358491	0.0011881668884
4.0	115.0	1.08898308848e-05	0.0	0.0157786032369	0.199709634886	0.00157	0.125846789132	0.000279475283031	0.0	0.0158161870305	0.00142209545171	0.0025964164669
5.0	115.0	2.40199510099e-05	0.0	0.0204145806029	0.199356867339	0.00157	0.120596357661	0.000619112710393	0.0	0.0167026426637	0.00175589294372	0.0043946068937
6.0	115.0	4.35891343544e-05	0.0	0.0358891927387	0.198829766757	0.00157	0.115592903203	0.00112664410852	0.0	0.0171001858914	0.00198982172647	0.0064136337261
7.0	115.0	6.95075792894e-05	0.0	0.0606382028299	0.198130507797	0.00157	0.110817405473	0.00179998462404	0.0	0.0172203121303	0.00215338987364	0.0085277513245
8.0	115.0	0.00010126508465	0.0	0.0938011244252	0.197272768036	0.00157	0.106255211046	0.00262596687981	0.0	0.0171863803082	0.00227211953961	0.010657084783
9.0	115.0	0.0001381386891	0.0	0.134531907469	0.196276068848	0.00157	0.101894343899	0.003585792463	0.0	0.0170685041983	0.00236335703933	0.012755218912
10.0	115.0	0.000179327891444	0.0	0.181882073614	0.195162081072	0.00157	0.097724505839	0.00465859103702	0.0	0.016906141329	0.00243777110253	0.014796905313
11.0	115.0	0.000224033687488	0.0	0.234841578076	0.193952462343	0.00157	0.0937365001852	0.00582350396935	0.0	0.0167214265902	0.00250163373959	0.016769402872
12.0	115.0	0.000271501101649	0.0	0.292400523854	0.192667691611	0.00157	0.0899219004082	0.00706080728699	0.0	0.0165267681798	0.00255856355863	0.018667102147
13.0	115.0	0.000321039952911	0.0	0.353596091907	0.191326498777	0.00157	0.0862728567915	0.00835246127042	0.0	0.0163291283936	0.00261064786437	0.020488359543
14.0	115.0	0.000372032779168	0.0	0.417540274941	0.189945645695	0.00157	0.0827819827932	0.00968232152604	0.0	0.0161323872298	0.00265909909325	0.022233715895
15.0	115.0	0.000423936069582	0.0	0.483433330039	0.188539890261	0.00157	0.0794422833181	0.011036173669	0.0	0.015938703099	0.0027046394013	0.023904867390
16.0	115.0	0.000476277466815	0.0	0.550567631487	0.187122061064	0.00157	0.0762471094946	0.0124016614687	0.0	0.0157492488311	0.00274771296135	0.025504107875
17.0	115.0	0.000528651122841	0.0	0.618325812794	0.185703182482	0.00157	0.0731901270944	0.0137681663949	0.0	0.0155646366201	0.00278860534539	0.027034012797
18.0	115.0	0.000580712196517	0.0	0.686175935024	0.184292623512	0.00157	0.070265293107	0.0151266642918	0.0	0.0153851631958	0.00282751286422	0.028497258984
19.0	115.0	0.000632170996294	0.0	0.75366492124	0.182898256405	0.00157	0.0674668376061	0.0164695725987	0.0	0.0152109437378	0.00286457963741	0.029896529690
20.0	115.0	0.000682787184329	0.0	0.820411242849	0.181526613768	0.00157	0.0647892488633	0.0177905990481	0.0	0.0150419836091	0.00289991712912	0.031234466634
21.0	115.0	0.000732364284262	0.0	0.886097740357	0.180183037472	0.00157	0.06222725991	0.0190845982434	0.0	0.014878228643	0.00293361785261	0.032513637870
22.0	115.0	0.000780744481229	0.0	0.950464570977	0.1788718197	0.00157	0.0597758365722	0.0203474358187	0.0	0.0147195925662	0.00296576273781	0.03373652269
23.0	115.0	0.000827803785827	0.0	1.01330245026	0.177596334145	0.00157	0.0574301665734	0.0215758620687	0.0	0.014565970909	0.00299642463531	0.034905506623
24.0	115.0	0.000873447654628	0.0	1.07444641443	0.176359154848	0.00157	0.0551856494766	0.0227673974973	0.0	0.0144172473224	0.0030256701443	0.036022881456
25.0	115.0	0.000917607034136	0.0	1.13377015455	0.175162163553	0.00157	0.0530378871041	0.0239202294131	0.0	0.0142732990071	0.00305356117826	0.037090845766
26.0	115.0	0.000960234781374	0.0	1.19118086446	0.174006646853	0.00157	0.0509826743875	0.0250331183655	0.0	0.0141340014767	0.00308015618658	0.038111505881
27.0	115.0	0.00100130248625	0.0	1.24661460897	0.172893382445	0.00157	0.0490159907743	0.0261053150688	0.0	0.0139992305705	0.00310551069897	0.039086878628
28.0	115.0	0.00104079752514	0.0	1.30003199936	0.171822719107	0.00157	0.0471339919413	0.0271364833674	0.0	0.013868863224	0.00312967765137	0.04001889476
29.0	115.0	0.0010787205555	0.0	1.35141449983	0.170794644706	0.00157	0.0453330020164	0.0281266347386	0.0	0.0137427777758	0.00315270763597	0.040909402467
30.0	115.0	0.00111508328855	0.0	1.4007610953	0.169808846717	0.00157	0.043609506128	0.0290760699943	0.0	0.0136208541892	0.00317464889376	0.041760170947
31.0	115.0	0.00114990644144	0.0	1.44808524328	0.16886476775	0.00157	0.0419601431841	0.0299853258088	0.0	0.0135029739509	0.00319554747972	0.042572893952
32.0	115.0	0.00118321826962	0.0	1.49341265404	0.167961645372	0.00157	0.0403816993256	0.0308551363583	0.0	0.0133890203987	0.0032154474666	0.043349192671
33.0	115.0	0.00121505296919	0.0	1.53677884283	0.167098556224	0.00157	0.0388711012516	0.0316863908065	0.0	0.0132788793529	0.00323439086476	0.04409061883
34.0	115.0	0.00124544931434	0.0	1.57822723131	0.166274450296	0.00157	0.0374254100443	0.0324801003895	0.0	0.0131724388552	0.00325241821625	0.04479865733
35.0	115.0	0.00127444967783	0.0	1.61780739799	0.16548818189	0.00157	0.0360418151892	0.0332373684319	0.0	0.0130695894215	0.00326956826085	0.045474729433
36.0	115.0	0.00130209903874	0.0	1.65557355186	0.164738536662	0.00157	0.0347176288279	0.0339593642992	0.0	0.012970223923	0.00328587800503	0.046120195619
37.0	115.0	0.00132844398699	0.0	1.69158353691	0.164024248575	0.00157	0.0334502806128	0.0346473074376	0.0	0.0128742372066	0.00330138302832	0.04673635806
38.0	115.0	0.0013535322912	0.0	1.72589744977	0.163344024553	0.00157	0.0322373121828	0.0353024431557	0.0	0.0127815264187	0.00331611735222	0.04732446334
39.0	115.0	0.00137741238551	0.0	1.75857697679	0.162696555477	0.00157	0.0310763724398	0.0359260321377	0.0	0.0126919908146	0.00333011354316	0.047885704829
40.0	115.0	0.00140013266425	0.0	1.78968471214	0.162080527993	0.00157	0.0299652129444	0.0365193393425	0.0	0.0126055320206	0.00334340278604	0.048421224731
41.0	115.0	0.00142174124604	0.0	1.81928332322	0.16149463881	0.00157	0.0289016831352	0.0370836199442	0.0	0.0125220538688	0.00335601495789	0.048932116540
42.0	115.0	0.00144228560466	0.0	1.84743512309	0.160937601763	0.00157	0.0278837260961	0.0376201126328	0.0	0.0124414625002	0.00336797869577	0.049419427006
43.0	115.0	0.00146181234365	0.0	1.87420170325	0.160408153722	0.00157	0.0269093745856	0.038130033934	0.0	0.0123636661841	0.00337932143902	0.049884158176
44.0	115.0	0.00148036701104	0.0	1.89964358836	0.159905060249	0.00157	0.0259767470975	0.03861457274	0.0	0.0122885753757	0.00339006945498	0.050327269308
45.0	115.0	0.00149799375536	0.0	1.9238196893	0.15942712474	0.00157	0.0250840434987	0.0390748815042	0.0	0.012216102648	0.00340024791718	0.050749679009
46.0	115.0	0.00151473554853	0.0	1.94678761553	0.158973182439	0.00157	0.0242295425805	0.0395120820122	0.0	0.0121461627763	0.00340988093074	0.051152266390
47.0	115.0	0.00153063364737	0.0	1.96860281981	0.158542115024	0.00157	0.0234115970068	0.0399272513286	0.0	0.0120786726117	0.00341899159032	0.051535873600
48.0	115.0	0.00154572805677	0.0	1.98931929103	0.158132837933	0.00157	0.0226286319382	0.0403214340102	0.0	0.0120135511535	0.00342760199371	0.051901306460
49.0	115.0	0.00156005704286	0.0	2.00898876438	0.157744313825	0.00157	0.0218791400885	0.040695629132	0.0	0.0119507194819	0.00343573331997	0.052249336894
50.0	115.0	0.0015736574947	0.0	2.02766124625	0.157375542952	0.00157	0.021161680287	0.0410507995534	0.0	0.0118901007426	0.003443405874	0.052580703611
51.0	115.0	0.00158656463491	0.0	2.04538458939	0.15702557015	0.00157	0.0204748734284	0.0413878652153	0.0	0.011831620135	0.00345063908735	0.052896114130
52.0	115.0	0.00159881217184	0.0	2.06220471488	0.15669348058	0.00157	0.0198174004492	0.0417077072481	0.0	0.011775204868	0.00345745155798	0.053196245783
53.0	115.0	0.00161043237892	0.0	2.07816552953	0.156378400843	0.00157	0.0191879994586	0.0420111667782	0.0	0.0117207841285	0.00346386113737	0.053481747069
54.0	115.0	0.00162145605406	0.0	2.09330893801	0.156079498337	0.00157	0.0185854629897	0.0422990456088	0.0	0.0116682890563	0.0034698849359	0.053753239041
55.0	115.0	0.00163191233767	0.0	2.10767502319	0.155795977897	0.00157	0.0180086366667	0.0425721097656	0.0	0.0116176527657	0.00347553925944	0.054011316024
56.0	115.0	0.00164182900242	0.0	2.12130179954	0.155527085507	0.00157	0.017456414725	0.0428310854909	0.0	0.0115688102528	0.00348083978647	0.054256547724
57.0	115.0	0.00165123269287	0.0	2.13422562267	0.155272101242	0.00157	0.0169277404223	0.0430766660653	0.0	0.0115216983857	0.00348580152156	0.054489479074
58.0	115.0	0.00166014872777	0.0	2.14648101104	0.155030341773	0.00157	0.0164216019854	0.0433095094988	0.0	0.0114762558846	0.00349043884238	0.054710632222
59.0	115.0	0.00166860103695	0.0	2.15810076978	0.154801158023	0.00157	0.0159370312862	0.0435302409397	0.0	0.011432423286	0.00349476551604	0.054920507197
60.0	115.0	0.00167661226995	0.0	2.16911617898	0.154583931769	0.00157	0.0154731029	0.0437394559611	0.0	0.0113901429028	0.00349879472119	0.055119582377
61.0	115.0	0.00168420401318	0.0	2.17955685492	0.154378077489	0.00157	0.0150289300132	0.0439377184975	0.0	0.011349358808	0.00350253909774	0.055308316491
62.0	115.0	0.00169139692014	0.0	2.18945100655	0.154183038119	0.00157	0.0146036657618	0.0441255649606	0.0	0.0113100167793	0.00350601072044	0.05548714800
63.0	115.0	0.00169821046935	0.0	2.1988253818	0.15399828523	0.00157	0.0141964981622	0.0443035043006	0.0	0.0112720642911	0.00350922118014	0.055656497593
64.0	115.0	0.00170466310149	0.0	2.20770536702	0.1538233177	0.00157	0.0138066518948	0.0444720191979	0.0	0.0112354504528	0.00351218155557	0.055816767270
65.0	115.0	0.00171077238447	0.0	2.21611506981	0.153657659482	0.00157	0.0134333836739	0.0446315681335	0.0	0.0112001259997	0.00351490247072	0.055968342692
66.0	115.0	0.00171655496014	0.0	2.2240773482	0.153500859395	0.00157	0.0130759831571	0.0447825856449	0.0	0.0111660432391	0.00351739409239	0.056111592709
